Date_Start,ID,Duration(sec),Consent,Image,Cat,Cat_Name,Modified_Img,Modified_Grade,Sequence_Img,Guess,Guess_Correct,Follow_Exp,Follow_AI,Know_Cats,Easy_Task,Perform_Self,Perform_Others,Gender,Birthyear,Correct_Guesses_Total,Age
07.02.2023 21:23,612be52c615057eb7b5f243c,317,1,104,1,D,0,,6,1,1,5,3,4,5,14,15,F,1989.0,16,33.0
07.02.2023 21:23,612be52c615057eb7b5f243c,317,1,106,1,D,0,,3,1,1,5,3,4,5,14,15,F,1989.0,16,33.0
07.02.2023 21:23,612be52c615057eb7b5f243c,317,1,110,1,D,0,,1,2,0,5,3,4,5,14,15,F,1989.0,16,33.0
07.02.2023 21:23,612be52c615057eb7b5f243c,317,1,116,1,D,0,,9,1,1,5,3,4,5,14,15,F,1989.0,16,33.0
07.02.2023 21:23,612be52c615057eb7b5f243c,317,1,119,1,D,0,,5,1,1,5,3,4,5,14,15,F,1989.0,16,33.0
07.02.2023 21:23,612be52c615057eb7b5f243c,317,1,204,2,S,0,,14,2,1,5,3,4,5,14,15,F,1989.0,16,33.0
07.02.2023 21:23,612be52c615057eb7b5f243c,317,1,211,2,S,0,,13,3,0,5,3,4,5,14,15,F,1989.0,16,33.0
07.02.2023 21:23,612be52c615057eb7b5f243c,317,1,219,2,S,0,,7,2,1,5,3,4,5,14,15,F,1989.0,16,33.0
07.02.2023 21:23,612be52c615057eb7b5f243c,317,1,305,3,B,0,,12,3,1,5,3,4,5,14,15,F,1989.0,16,33.0
07.02.2023 21:23,612be52c615057eb7b5f243c,317,1,307,3,B,0,,8,3,1,5,3,4,5,14,15,F,1989.0,16,33.0
07.02.2023 21:23,612be52c615057eb7b5f243c,317,1,313,3,B,0,,11,3,1,5,3,4,5,14,15,F,1989.0,16,33.0
07.02.2023 21:23,612be52c615057eb7b5f243c,317,1,316,3,B,0,,2,3,1,5,3,4,5,14,15,F,1989.0,16,33.0
07.02.2023 21:23,612be52c615057eb7b5f243c,317,1,318,3,B,0,,4,3,1,5,3,4,5,14,15,F,1989.0,16,33.0
07.02.2023 21:23,612be52c615057eb7b5f243c,317,1,319,3,B,0,,10,2,0,5,3,4,5,14,15,F,1989.0,16,33.0
07.02.2023 21:23,612be52c615057eb7b5f243c,317,1,402,1,D,1,1.0,17,1,1,5,3,4,5,14,15,F,1989.0,16,33.0
07.02.2023 21:23,612be52c615057eb7b5f243c,317,1,404,1,D,1,0.0,16,1,1,5,3,4,5,14,15,F,1989.0,16,33.0
07.02.2023 21:23,612be52c615057eb7b5f243c,317,1,505,2,S,1,1.0,15,2,1,5,3,4,5,14,15,F,1989.0,16,33.0
07.02.2023 21:23,612be52c615057eb7b5f243c,317,1,603,3,B,1,2.0,19,3,1,5,3,4,5,14,15,F,1989.0,16,33.0
07.02.2023 21:23,612be52c615057eb7b5f243c,317,1,604,3,B,1,0.0,18,3,1,5,3,4,5,14,15,F,1989.0,16,33.0
07.02.2023 21:23,612be52c615057eb7b5f243c,317,1,607,3,B,1,0.0,20,2,0,5,3,4,5,14,15,F,1989.0,16,33.0
07.02.2023 21:30,5f4962321798ec4bf94a655f,180,1,102,1,D,0,,11,1,1,4,3,1,2,12,12,M,1985.0,13,37.0
07.02.2023 21:30,5f4962321798ec4bf94a655f,180,1,104,1,D,0,,8,2,0,4,3,1,2,12,12,M,1985.0,13,37.0
07.02.2023 21:30,5f4962321798ec4bf94a655f,180,1,106,1,D,0,,12,2,0,4,3,1,2,12,12,M,1985.0,13,37.0
07.02.2023 21:30,5f4962321798ec4bf94a655f,180,1,111,1,D,0,,13,1,1,4,3,1,2,12,12,M,1985.0,13,37.0
07.02.2023 21:30,5f4962321798ec4bf94a655f,180,1,112,1,D,0,,7,2,0,4,3,1,2,12,12,M,1985.0,13,37.0
07.02.2023 21:30,5f4962321798ec4bf94a655f,180,1,115,1,D,0,,17,2,0,4,3,1,2,12,12,M,1985.0,13,37.0
07.02.2023 21:30,5f4962321798ec4bf94a655f,180,1,116,1,D,0,,16,1,1,4,3,1,2,12,12,M,1985.0,13,37.0
07.02.2023 21:30,5f4962321798ec4bf94a655f,180,1,117,1,D,0,,15,1,1,4,3,1,2,12,12,M,1985.0,13,37.0
07.02.2023 21:30,5f4962321798ec4bf94a655f,180,1,210,2,S,0,,14,2,1,4,3,1,2,12,12,M,1985.0,13,37.0
07.02.2023 21:30,5f4962321798ec4bf94a655f,180,1,215,2,S,0,,20,2,1,4,3,1,2,12,12,M,1985.0,13,37.0
07.02.2023 21:30,5f4962321798ec4bf94a655f,180,1,220,2,S,0,,10,2,1,4,3,1,2,12,12,M,1985.0,13,37.0
07.02.2023 21:30,5f4962321798ec4bf94a655f,180,1,302,3,B,0,,19,3,1,4,3,1,2,12,12,M,1985.0,13,37.0
07.02.2023 21:30,5f4962321798ec4bf94a655f,180,1,306,3,B,0,,18,2,0,4,3,1,2,12,12,M,1985.0,13,37.0
07.02.2023 21:30,5f4962321798ec4bf94a655f,180,1,314,3,B,0,,9,3,1,4,3,1,2,12,12,M,1985.0,13,37.0
07.02.2023 21:30,5f4962321798ec4bf94a655f,180,1,403,1,D,1,2.0,6,2,0,4,3,1,2,12,12,M,1985.0,13,37.0
07.02.2023 21:30,5f4962321798ec4bf94a655f,180,1,404,1,D,1,0.0,3,1,1,4,3,1,2,12,12,M,1985.0,13,37.0
07.02.2023 21:30,5f4962321798ec4bf94a655f,180,1,408,1,D,1,1.0,1,2,0,4,3,1,2,12,12,M,1985.0,13,37.0
